,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy,std
0,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.0,2,2,2,1,0.6504,0.0115
1,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.1,2,2,2,1,0.6513,0.014
2,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.3,2,2,2,1,0.6566,0.0134
3,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.2,2,2,2,1,0.6603,0.0133
4,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.4,2,2,2,1,0.6651,0.013
5,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.5,2,2,2,1,0.6669,0.015
6,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.6,2,2,2,1,0.6702,0.0207
7,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.7,2,2,2,1,0.6702,0.0213
8,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.8,2,2,2,1,0.6713,0.0167
9,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.9,2,2,2,1,0.6746,0.019
10,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,1.0,2,2,2,1,0.6792,0.0175
11,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.0,2,2,2,1,0.6722,0.0259
12,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.1,2,2,2,1,0.6786,0.0283
13,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.2,2,2,2,1,0.6942,0.0249
14,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.3,2,2,2,1,0.71,0.0206
15,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.4,2,2,2,1,0.72,0.0187
16,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.5,2,2,2,1,0.7255,0.0171
17,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.6,2,2,2,1,0.7349,0.0169
18,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.7,2,2,2,1,0.7456,0.0159
19,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.8,2,2,2,1,0.7528,0.0162
20,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,1.0,2,2,2,1,0.7633,0.0171
21,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.9,2,2,2,1,0.7643,0.0182
22,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.0,2,2,2,4,0.8384,0.0137
23,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.1,2,2,2,4,0.8406,0.0129
24,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.2,2,2,2,4,0.8431,0.0131
25,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.3,2,2,2,4,0.8471,0.0118
26,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.4,2,2,2,4,0.8509,0.0135
27,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.5,2,2,2,4,0.8551,0.0152
28,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.6,2,2,2,4,0.8612,0.0122
29,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.7,2,2,2,4,0.867,0.0139
30,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.8,2,2,2,4,0.8755,0.0132
31,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,1.0,2,2,2,4,0.8763,0.0138
32,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.9,2,2,2,4,0.8799,0.0115
33,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.1,2,2,2,1,0.4405,0.1147
34,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.0,2,2,2,1,0.4459,0.118
35,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.2,2,2,2,1,0.4459,0.1148
36,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.3,2,2,2,1,0.4541,0.1183
37,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.4,2,2,2,1,0.473,0.1198
38,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.5,2,2,2,1,0.527,0.0969
39,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.6,2,2,2,1,0.5757,0.1012
40,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.7,2,2,2,1,0.6297,0.0847
41,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.8,2,2,2,1,0.7108,0.0528
42,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.9,2,2,2,1,0.7946,0.0367
43,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,1.0,2,2,2,1,0.8514,0.0487
44,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.0,2,2,2,6,0.2547,0.0102
45,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.1,2,2,2,6,0.261,0.0069
46,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.2,2,2,2,6,0.3066,0.0191
47,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.3,2,2,2,6,0.3432,0.0115
48,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.4,2,2,2,6,0.353,0.0119
49,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.5,2,2,2,6,0.3564,0.0079
50,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.6,2,2,2,6,0.3587,0.0087
51,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.8,2,2,2,6,0.3631,0.0081
52,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.7,2,2,2,6,0.3632,0.0089
53,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,0.9,2,2,2,6,0.3674,0.0043
54,film,0.01,0.0,40,0.001,0.0,1000.0,0.2,1.0,2,2,2,6,0.3674,0.0064
55,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.0,2,1,2,4,0.8148,0.0032
56,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.1,2,1,2,4,0.8212,0.0029
57,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.2,2,1,2,4,0.8328,0.0028
58,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.3,2,1,2,4,0.8421,0.0046
59,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.4,2,1,2,4,0.8525,0.0044
60,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.5,2,1,2,4,0.861,0.0036
61,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.6,2,1,2,4,0.8657,0.0028
62,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.7,2,1,2,4,0.87,0.0032
63,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.8,2,1,2,4,0.8719,0.003
64,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,1.0,2,1,2,4,0.8724,0.0028
65,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.9,2,1,2,4,0.8752,0.0049
66,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,1.0,2,1,2,1,0.5374,0.046
67,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.2,2,1,2,1,0.5435,0.0303
68,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.3,2,1,2,1,0.5469,0.0114
69,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.9,2,1,2,1,0.5476,0.0163
70,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.7,2,1,2,1,0.5478,0.0223
71,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.4,2,1,2,1,0.5479,0.0147
72,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.5,2,1,2,1,0.5485,0.0159
73,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.0,2,1,2,1,0.5495,0.0115
74,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.1,2,1,2,1,0.5495,0.0153
75,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.8,2,1,2,1,0.5513,0.0148
76,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.6,2,1,2,1,0.5544,0.0198
77,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.2,2,2,2,3,0.5649,0.0709
78,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.0,2,2,2,3,0.5676,0.0673
79,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.1,2,2,2,3,0.5703,0.0633
80,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.4,2,2,2,3,0.5703,0.0585
