,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,1.0,2,2,3,3,0.19583333333333333
1,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.0,2,2,3,3,0.20043859649122808
2,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.7,2,2,3,3,0.5070175438596491
3,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.6,2,2,3,3,0.5105263157894736
4,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.9,2,2,3,3,0.5109649122807017
5,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.8,2,2,3,3,0.5116228070175437
6,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.5,2,2,3,3,0.5241228070175438
7,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.3,2,2,3,3,0.5263157894736843
8,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.2,2,2,3,3,0.5331140350877194
9,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.4,2,2,3,3,0.5375
10,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.5390350877192983
0,chameleon,0.05,0.0,250,0.0,1.0,0.1,0.1,2,2,3,3,0.4335526315789474
1,chameleon,0.05,0.0,250,0.0,1.0,1.0,0.1,2,2,3,3,0.43991228070175437
2,chameleon,0.05,0.0,250,0.0,1.0,10.0,0.1,2,2,3,3,0.456359649122807
3,chameleon,0.05,0.0,250,0.0,1.0,0.0,0.1,2,2,3,3,0.4787280701754386
4,chameleon,0.05,0.0,250,0.0,1.0,100.0,0.1,2,2,3,3,0.4789473684210527
5,chameleon,0.05,0.0,250,0.0,1.0,100000000.0,0.1,2,2,3,3,0.4978070175438597
6,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.5390350877192983
0,chameleon,0.05,0.0,250,0.0,1.0,100000000.0,0.0,2,2,3,3,0.1756578947368421
0,chameleon,0.05,1.0,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.2111842105263158
1,chameleon,0.05,0.9,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.34736842105263155
2,chameleon,0.05,0.8,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.49714912280701756
3,chameleon,0.05,0.0,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.5390350877192983
4,chameleon,0.05,0.7,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.5638157894736842
5,chameleon,0.05,0.1,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.5697368421052632
6,chameleon,0.05,0.3,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.5787280701754385
7,chameleon,0.05,0.2,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.6087719298245613
8,chameleon,0.05,0.4,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.6089912280701755
9,chameleon,0.05,0.6,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.6120614035087719
10,chameleon,0.05,0.5,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.6234649122807017
0,chameleon,0.05,0.5,250,0.001,1.0,1000000.0,0.1,2,2,3,3,0.36184210526315785
1,chameleon,0.05,0.5,250,0.0005,1.0,1000000.0,0.1,2,2,3,3,0.5945175438596492
2,chameleon,0.05,0.5,250,5e-07,1.0,1000000.0,0.1,2,2,3,3,0.6173245614035088
3,chameleon,0.05,0.5,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.6234649122807017
4,chameleon,0.05,0.5,250,1e-07,1.0,1000000.0,0.1,2,2,3,3,0.6236842105263158
5,chameleon,0.05,0.5,250,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.6243421052631579
6,chameleon,0.05,0.5,250,1e-05,1.0,1000000.0,0.1,2,2,3,3,0.6337719298245614
7,chameleon,0.05,0.5,250,1e-06,1.0,1000000.0,0.1,2,2,3,3,0.6370614035087719
8,chameleon,0.05,0.5,250,0.0001,1.0,1000000.0,0.1,2,2,3,3,0.637280701754386
9,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6385964912280702
0,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,2,0.5353070175438597
1,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,4,0.5826754385964913
2,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,5,0.5986842105263158
3,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,1,0.6361842105263158
4,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6385964912280702
0,chameleon,0.5,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.2956140350877193
1,chameleon,0.001,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.5603070175438597
2,chameleon,0.1,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.5912280701754387
3,chameleon,0.005,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.5918859649122806
4,chameleon,0.01,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6114035087719298
5,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6385964912280702
0,chameleon,0.05,0.5,250,5e-06,100000000.0,1000000.0,0.1,2,2,3,3,0.6210526315789473
1,chameleon,0.05,0.5,250,5e-06,0.1,1000000.0,0.1,2,2,3,3,0.6252192982456142
2,chameleon,0.05,0.5,250,5e-06,1000000.0,1000000.0,0.1,2,2,3,3,0.6298245614035088
3,chameleon,0.05,0.5,250,5e-06,0.0,1000000.0,0.1,2,2,3,3,0.6342105263157893
4,chameleon,0.05,0.5,250,5e-06,100.0,1000000.0,0.1,2,2,3,3,0.6364035087719297
5,chameleon,0.05,0.5,250,5e-06,10.0,1000000.0,0.1,2,2,3,3,0.637280701754386
6,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6385964912280702
0,chameleon,0.05,0.5,40,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.5015350877192983
1,chameleon,0.05,0.5,100,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6015350877192983
2,chameleon,0.05,0.5,200,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6289473684210526
3,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6385964912280702
