,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,texas,0.1,0.9,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.6000000000000001
1,texas,0.1,0.8,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7216216216216216
2,texas,0.1,0.0,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7324324324324325
3,texas,0.1,0.6,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.754054054054054
4,texas,0.1,0.5,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7702702702702704
5,texas,0.1,0.7,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.772972972972973
6,texas,0.1,0.4,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7783783783783783
7,texas,0.1,0.3,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7810810810810811
8,texas,0.1,0.1,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7864864864864864
9,texas,0.1,0.2,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7864864864864866
0,texas,0.1,0.5,200,5e-05,10.0,1.0,0.0,2,2,3,3,0.1567567567567568
1,texas,0.1,0.5,200,5e-05,10.0,1.0,1.0,2,2,3,3,0.1567567567567568
2,texas,0.1,0.5,200,5e-05,10.0,1.0,0.1,2,2,3,3,0.754054054054054
3,texas,0.1,0.5,200,5e-05,10.0,1.0,0.4,2,2,3,3,0.7675675675675675
4,texas,0.1,0.5,200,5e-05,10.0,1.0,0.8,2,2,3,3,0.7702702702702702
5,texas,0.1,0.5,200,5e-05,10.0,1.0,0.5,2,2,3,3,0.7702702702702704
6,texas,0.1,0.5,200,5e-05,10.0,1.0,0.3,2,2,3,3,0.7729729729729731
7,texas,0.1,0.5,200,5e-05,10.0,1.0,0.7,2,2,3,3,0.7891891891891891
8,texas,0.1,0.5,200,5e-05,10.0,1.0,0.2,2,2,3,3,0.7999999999999999
9,texas,0.1,0.5,200,5e-05,10.0,1.0,0.9,2,2,3,3,0.8081081081081081
10,texas,0.1,0.5,200,5e-05,10.0,1.0,0.6,2,2,3,3,0.8162162162162161
0,texas,0.1,0.5,200,0.0,10.0,1.0,0.6,2,2,3,3,0.7216216216216218
1,texas,0.1,0.5,200,1e-07,10.0,1.0,0.6,2,2,3,3,0.745945945945946
2,texas,0.1,0.5,200,0.001,10.0,1.0,0.6,2,2,3,3,0.7513513513513513
3,texas,0.1,0.5,200,0.0005,10.0,1.0,0.6,2,2,3,3,0.7513513513513514
4,texas,0.1,0.5,200,1e-06,10.0,1.0,0.6,2,2,3,3,0.7567567567567568
5,texas,0.1,0.5,200,5e-07,10.0,1.0,0.6,2,2,3,3,0.7621621621621621
6,texas,0.1,0.5,200,5e-06,10.0,1.0,0.6,2,2,3,3,0.7810810810810811
7,texas,0.1,0.5,200,0.0001,10.0,1.0,0.6,2,2,3,3,0.7945945945945948
